value range: [0.456911,1]
distance matrix with 1003 points, using threshold at enclosing radius 0.788447
persistent homology intervals in dim 0:
 [0,0.550618):  {[201], [995]}
 [0,0.550635):  {[995], [475]}
 [0,0.55066):  {[995], [896]}
 [0,0.550686):  {[995], [811]}
 [0,0.550928):  {[290], [995]}
 [0,0.550999):  {[995], [951]}
 [0,0.551201):  {[610], [995]}
 [0,0.551246):  {[995], [540]}
 [0,0.551264):  {[995], [305]}
 [0,0.551313):  {[995], [980]}
 [0,0.55136):  {[771], [995]}
 [0,0.5514):  {[124], [995]}
 [0,0.551592):  {[793], [995]}
 [0,0.551673):  {[295], [995]}
 [0,0.551708):  {[429], [586]}
 [0,0.551747):  {[666], [692]}
 [0,0.551769):  {[335], [995]}
 [0,0.552169):  {[34], [995]}
 [0,0.552184):  {[995], [645]}
 [0,0.552188):  {[995], [844]}
 [0,0.552646):  {[375], [995]}
 [0,0.552668):  {[995], [931]}
 [0,0.552688):  {[399], [995]}
 [0,0.552705):  {[995], [846]}
 [0,0.552788):  {[995], [407]}
 [0,0.552823):  {[481], [995]}
 [0,0.553033):  {[385], [995]}
 [0,0.553036):  {[995], [881]}
 [0,0.553042):  {[229], [995]}
 [0,0.553078):  {[718], [995]}
 [0,0.553078):  {[995], [597]}
 [0,0.553175):  {[56], [995]}
 [0,0.553197):  {[995], [841]}
 [0,0.553289):  {[995], [921]}
 [0,0.553296):  {[353], [579]}
 [0,0.553336):  {[225], [995]}
 [0,0.553337):  {[995], [828]}
 [0,0.553535):  {[318], [995]}
 [0,0.553803):  {[312], [995]}
 [0,0.553838):  {[59], [995]}
 [0,0.553905):  {[995], [392]}
 [0,0.55392):  {[995], [556]}
 [0,0.554003):  {[995], [586]}
 [0,0.55403):  {[64], [995]}
 [0,0.554194):  {[26], [995]}
 [0,0.554378):  {[995], [971]}
 [0,0.554404):  {[427], [995]}
 [0,0.554422):  {[995], [261]}
 [0,0.554431):  {[995], [719]}
 [0,0.554493):  {[319], [995]}
 [0,0.554618):  {[68], [875]}
 [0,0.554626):  {[995], [677]}
 [0,0.554684):  {[995], [964]}
 [0,0.554719):  {[995], [453]}
 [0,0.554724):  {[19], [995]}
 [0,0.554806):  {[995], [934]}
 [0,0.554918):  {[84], [995]}
 [0,0.555058):  {[780], [995]}
 [0,0.55512):  {[82], [995]}
 [0,0.555139):  {[212], [995]}
 [0,0.555259):  {[765], [995]}
 [0,0.555595):  {[125], [995]}
 [0,0.555645):  {[171], [692]}
 [0,0.556041):  {[995], [283]}
 [0,0.556192):  {[995], [842]}
 [0,0.556287):  {[388], [692]}
 [0,0.556288):  {[995], [219]}
 [0,0.55649):  {[995], [880]}
 [0,0.556594):  {[875], [995]}
 [0,0.556768):  {[431], [995]}
 [0,0.556778):  {[18], [995]}
 [0,0.556815):  {[113], [995]}
 [0,0.556867):  {[995], [641]}
 [0,0.556922):  {[380], [995]}
 [0,0.557202):  {[995], [819]}
 [0,0.557223):  {[632], [995]}
 [0,0.557304):  {[190], [995]}
 [0,0.557349):  {[627], [995]}
 [0,0.557466):  {[995], [578]}
 [0,0.557611):  {[995], [752]}
 [0,0.557628):  {[995], [681]}
 [0,0.557674):  {[995], [855]}
 [0,0.557723):  {[678], [995]}
 [0,0.557755):  {[995], [937]}
 [0,0.557775):  {[995], [555]}
 [0,0.558126):  {[995], [648]}
 [0,0.558137):  {[554], [995]}
 [0,0.558222):  {[91], [496]}
 [0,0.558323):  {[995], [930]}
 [0,0.558335):  {[72], [995]}
 [0,0.558727):  {[38], [995]}
 [0,0.559105):  {[995], [377]}
 [0,0.559131):  {[995], [394]}
 [0,0.559211):  {[692], [995]}
 [0,0.559366):  {[995], [238]}
 [0,0.559437):  {[995], [665]}
 [0,0.559499):  {[995], [491]}
 [0,0.559521):  {[356], [995]}
 [0,0.559742):  {[995], [628]}
 [0,0.559792):  {[995], [148]}
 [0,0.560037):  {[439], [995]}
 [0,0.560178):  {[995], [749]}
 [0,0.560179):  {[995], [697]}
 [0,0.560223):  {[115], [579]}
 [0,0.560265):  {[195], [995]}
 [0,0.560338):  {[995], [582]}
 [0,0.560419):  {[98], [995]}
 [0,0.560453):  {[574], [995]}
 [0,0.560514):  {[321], [995]}
 [0,0.560524):  {[404], [995]}
 [0,0.560593):  {[145], [995]}
 [0,0.561037):  {[539], [995]}
 [0,0.561254):  {[575], [995]}
 [0,0.561385):  {[995], [676]}
 [0,0.561408):  {[995], [565]}
 [0,0.561444):  {[995], [340]}
 [0,0.561508):  {[995], [611]}
 [0,0.561536):  {[995], [836]}
 [0,0.561544):  {[579], [995]}
 [0,0.561664):  {[711], [995]}
 [0,0.561709):  {[33], [995]}
 [0,0.561893):  {[995], [73]}
 [0,0.5621):  {[995], [908]}
 [0,0.56212):  {[327], [995]}
 [0,0.562159):  {[753], [995]}
 [0,0.562271):  {[995], [782]}
 [0,0.56229):  {[995], [935]}
 [0,0.56233):  {[995], [496]}
 [0,0.562443):  {[995], [882]}
 [0,0.562963):  {[995], [489]}
 [0,0.563179):  {[97], [995]}
 [0,0.563193):  {[995], [833]}
 [0,0.563208):  {[653], [995]}
 [0,0.563264):  {[43], [995]}
 [0,0.56331):  {[995], [300]}
 [0,0.563352):  {[995], [700]}
 [0,0.5634):  {[995], [533]}
 [0,0.563497):  {[85], [995]}
 [0,0.563518):  {[446], [995]}
 [0,0.563771):  {[995], [673]}
 [0,0.564014):  {[107], [995]}
 [0,0.564172):  {[995], [959]}
 [0,0.564207):  {[140], [995]}
 [0,0.56422):  {[995], [662]}
 [0,0.564259):  {[773], [995]}
 [0,0.564407):  {[995], [514]}
 [0,0.564727):  {[69], [995]}
 [0,0.564842):  {[995], [418]}
 [0,0.564853):  {[995], [721]}
 [0,0.565108):  {[170], [995]}
 [0,0.565113):  {[995], [619]}
 [0,0.565225):  {[995], [708]}
 [0,0.565435):  {[17], [995]}
 [0,0.565795):  {[995], [273]}
 [0,0.566067):  {[995], [508]}
 [0,0.566347):  {[995], [956]}
 [0,0.566391):  {[995], [999]}
 [0,0.566488):  {[47], [995]}
 [0,0.566527):  {[995], [942]}
 [0,0.566585):  {[995], [912]}
 [0,0.566803):  {[995], [474]}
 [0,0.567003):  {[432], [995]}
 [0,0.56706):  {[66], [995]}
 [0,0.567114):  {[570], [995]}
 [0,0.567251):  {[995], [756]}
 [0,0.567296):  {[22], [995]}
 [0,0.567394):  {[995], [878]}
 [0,0.567482):  {[293], [995]}
 [0,0.567591):  {[563], [995]}
 [0,0.567665):  {[510], [995]}
 [0,0.567726):  {[995], [924]}
 [0,0.567744):  {[995], [329]}
 [0,0.567975):  {[995], [911]}
 [0,0.567993):  {[995], [996]}
 [0,0.568076):  {[342], [995]}
 [0,0.568658):  {[995], [949]}
 [0,0.568664):  {[995], [682]}
 [0,0.568728):  {[659], [995]}
 [0,0.568916):  {[995], [315]}
 [0,0.568918):  {[995], [710]}
 [0,0.568919):  {[90], [995]}
 [0,0.568958):  {[995], [598]}
 [0,0.56915):  {[995], [299]}
 [0,0.569298):  {[995], [289]}
 [0,0.569338):  {[359], [995]}
 [0,0.569388):  {[75], [995]}
 [0,0.569423):  {[601], [995]}
 [0,0.569514):  {[361], [995]}
 [0,0.56958):  {[279], [995]}
 [0,0.569628):  {[995], [545]}
 [0,0.56975):  {[995], [616]}
 [0,0.569752):  {[76], [995]}
 [0,0.569856):  {[183], [995]}
 [0,0.569905):  {[995], [182]}
 [0,0.569925):  {[995], [32]}
 [0,0.570036):  {[995], [732]}
 [0,0.570184):  {[593], [995]}
 [0,0.570205):  {[995], [668]}
 [0,0.570405):  {[995], [210]}
 [0,0.570573):  {[381], [995]}
 [0,0.570608):  {[995], [687]}
 [0,0.570626):  {[647], [995]}
 [0,0.570967):  {[136], [995]}
 [0,0.570982):  {[995], [888]}
 [0,0.571163):  {[995], [584]}
 [0,0.571166):  {[746], [995]}
 [0,0.571208):  {[995], [345]}
 [0,0.571249):  {[572], [995]}
 [0,0.571254):  {[199], [347]}
 [0,0.571308):  {[178], [995]}
 [0,0.571343):  {[347], [995]}
 [0,0.571373):  {[995], [760]}
 [0,0.57139):  {[571], [995]}
 [0,0.571592):  {[995], [906]}
 [0,0.57175):  {[995], [387]}
 [0,0.571811):  {[135], [995]}
 [0,0.571851):  {[995], [998]}
 [0,0.571979):  {[227], [995]}
 [0,0.572108):  {[521], [995]}
 [0,0.572136):  {[110], [995]}
 [0,0.572366):  {[360], [995]}
 [0,0.572526):  {[365], [995]}
 [0,0.572582):  {[995], [870]}
 [0,0.572686):  {[995], [741]}
 [0,0.572789):  {[466], [995]}
 [0,0.572995):  {[862], [995]}
 [0,0.573001):  {[995], [397]}
 [0,0.57307):  {[995], [276]}
 [0,0.573346):  {[995], [470]}
 [0,0.573346):  {[355], [995]}
 [0,0.573468):  {[995], [218]}
 [0,0.573483):  {[995], [445]}
 [0,0.573949):  {[995], [988]}
 [0,0.573997):  {[995], [564]}
 [0,0.574024):  {[174], [995]}
 [0,0.57417):  {[995], [376]}
 [0,0.574533):  {[995], [144]}
 [0,0.574548):  {[29], [995]}
 [0,0.574556):  {[703], [995]}
 [0,0.574661):  {[995], [913]}
 [0,0.574821):  {[995], [778]}
 [0,0.574921):  {[389], [995]}
 [0,0.575049):  {[995], [309]}
 [0,0.575054):  {[492], [995]}
 [0,0.575153):  {[242], [995]}
 [0,0.575159):  {[495], [995]}
 [0,0.575299):  {[995], [553]}
 [0,0.575464):  {[995], [909]}
 [0,0.575866):  {[995], [506]}
 [0,0.57604):  {[995], [671]}
 [0,0.576308):  {[904], [995]}
 [0,0.576389):  {[690], [995]}
 [0,0.576666):  {[569], [995]}
 [0,0.577018):  {[995], [634]}
 [0,0.57708):  {[139], [995]}
 [0,0.577241):  {[600], [995]}
 [0,0.57734):  {[559], [995]}
 [0,0.577522):  {[435], [995]}
 [0,0.577598):  {[995], [102]}
 [0,0.577603):  {[995], [520]}
 [0,0.578144):  {[384], [995]}
 [0,0.578154):  {[461], [995]}
 [0,0.578334):  {[294], [995]}
 [0,0.578374):  {[995], [322]}
 [0,0.578447):  {[995], [887]}
 [0,0.578452):  {[995], [672]}
 [0,0.578472):  {[592], [995]}
 [0,0.578547):  {[270], [995]}
 [0,0.578641):  {[168], [995]}
 [0,0.578961):  {[413], [995]}
 [0,0.579126):  {[245], [995]}
 [0,0.579249):  {[995], [430]}
 [0,0.579307):  {[173], [995]}
 [0,0.57936):  {[995], [230]}
 [0,0.579514):  {[550], [995]}
 [0,0.579805):  {[995], [395]}
